TYPE_K,LOKASI,SALES_TYPE,TUN_LEAS
GEAR 125,YMS WAHIDIN 2S,Counter Sales,TUNAI
GEAR 125,YMS 1S MT HARYONO,Counter Sales,TUNAI
LEXI,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO NEO,YMS WAHIDIN 2S,Salesman,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Sales Channel,TUNAI
FAZZIO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS WAHIDIN 2S,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Sales Channel,TUNAI
AEROX C CYBERCT,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX C CYBERCT,YMS 1S MT HARYONO,Counter Sales,TUNAI
FREEGO 125,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX C CYBERCT,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO LUX,YMS 1S MT HARYONO,Salesman,TUNAI
FAZZIO LUX,YMS 1S MT HARYONO,Salesman,TUNAI
NEW FINO PR 125,YMS 1S MT HARYONO,Counter Sales,TUNAI
FREEGO 125,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO NEO,YMS WAHIDIN 2S,Counter Sales,TUNAI
FILANO NEO,YMS WAHIDIN 2S,Salesman,TUNAI
FAZZIO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
JUPITER Z1CWFIN,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
FAZZIO LUX,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
FILANO NEO,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155,YMS 1S MT HARYONO,Counter Sales,TUNAI
AEROX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
NMAX 155 C,YMS 1S MT HARYONO,Counter Sales,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
MIO 125,YMS WAHIDIN 2S,Salesman,TUNAI
